GHG_Grouped,National_Communication_Category,IPCC_Code,Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,current
,,,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Energy Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Industrial Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Land Use Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Waste Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon,Agriculture,1A4ci,Agriculture - stationary combustion,0.5805040048,0.6198189557,0.6664291367,0.6865280275,0.7477274958,0.713628495,0.7452726717,0.5789738145,0.4783807667,0.5672672562,0.3682903837,0.5191459463,0.4973865533,0.4956803863,0.5101025603,0.4934193895,0.4538651157,0.4475947224,0.3501287753,0.2963375844,0.2909820636,0.3033946812,0.2629698014,0.2487139396,0.2488473149,0.2348447079,0.2691032298,0.2909986069
Carbon,Agriculture,1A4cii,Agriculture - mobile machinery,4.548346411,4.548346411,4.548346411,4.548346411,4.548346411,4.548346411,4.590379947,4.643219992,4.558484219,4.468441852,4.337301062,4.262904802,4.249095481,4.215217001,4.047188976,4.035537027,3.837407881,3.646926094,3.557020578,3.637262713,3.662268294,3.708950248,3.821535491,3.77584542,3.808022395,3.967694436,3.973177803,3.990725327
Carbon,Agriculture,2D1,Agricultural engines,0.01131697196,0.008742878835,0.01013848109,0.01320196133,0.01373551028,0.01370208088,0.01078902344,0.009693257655,0.008622069399,0.008659223226,0.006075119594,0.005733326023,0.005987598216,0.008894698749,0.008570016217,0.002461017643,0.002712510416,0.002424222481,0.001084637735,0.001059453823,0.001760479492,0.001506356462,0.0007380368673,0.0008418962075,0.0005885267001,0.0004497791271,0.0003829523119,0.000421878438
Carbon,Agriculture,3G1,Liming,0.7265349727,0.7233122483,0.7225054579,0.3843655437,0.694161156,0.7108333132,0.7891582053,0.4200583384,0.720433564,0.6670856596,0.433759272,0.3580032923,0.4498704396,1.098590844,1.148713852,1.193074616,1.119864779,1.193787109,1.121426689,1.039253663,0.9694995048,1.109014792,0.8904971782,0.7839640094,1.016005854,0.7568130709,0.7714053951,0.8032352825
Carbon,Agriculture,3G2,Liming,0.2886468957,0.2865569033,0.2862465267,0.2478239638,0.321397982,0.3620352196,0.3497201991,0.03712779673,0.1398610277,0.3116052781,0.1988181996,0.07555564162,0.1135203413,0.23502325,0.2461535384,0.2149214126,0.2761387106,0.1610414835,0.2712317034,0.1979119786,0.2082094872,0.1509327797,0.1937790208,0.1473631058,0.1713437295,0.1614496136,0.1573186802,0.135898213
Carbon,Agriculture,3H,Agriculture - application of urea,0.000000615177273,0.0000005908666952,0.0000005184766865,0.000000538213236,0.0000004509966503,0.0000004773112312,0.000000455389751,0.0000004716726768,0.0000003316671246,0.0000004035327609,0.0000003236637269,0.0000004294337412,0.0000005697741228,0.0000004209762897,0.0000006064450561,0.0000005521699171,0.0000005655405101,0.0000008253189791,0.0000004873389267,0.0000006963749591,0.0000007539832529,0.0000008418904883,0.0000007017421947,0.0000005535658533,0.00000158931726,0.000002195641004,0.000002056397252,0.000001938273513
Carbon,Agriculture,3H,Fertiliser Application,0.3276021655,0.3341612992,0.2373270043,0.1997153907,0.2118471012,0.1489213175,0.1354063452,0.1092562619,0.1419883436,0.1468164756,0.1330218389,0.1379997419,0.1858946412,0.1535252907,0.2286279306,0.2037625723,0.1922681746,0.2503419405,0.1819386509,0.2691142748,0.2699023404,0.3072388058,0.2807292073,0.2198866217,0.3180746183,0.3527883712,0.365102605,0.3439522286
Carbon,Business,1A2a,Blast furnaces,4.84801423,4.571695324,4.263595345,4.823178474,5.349796657,5.341351256,5.706239553,5.705737936,5.202650041,5.378719023,5.114299179,4.454740025,3.718693965,4.440453181,4.443774945,4.311858554,4.623801024,4.787237528,4.798029265,3.712027702,3.161493728,2.857200484,3.019279377,3.939233858,4.237624141,3.969339301,3.006413723,2.90239446
Carbon,Business,1A2a,Iron and steel - combustion plant,16.68624765,16.63115407,16.44249475,16.46777293,16.52766247,16.31666363,16.52828602,17.11372933,16.13226703,17.28349937,13.46763844,12.88686794,11.46631615,12.29917665,12.36730242,12.12353439,12.99858864,12.75129409,11.86977247,9.993816869,8.756062905,8.118366233,9.01506707,10.66361909,10.67677585,9.474276416,6.952344722,6.417059341
Carbon,Business,1A2b,Autogeneration - exported to grid,0.8733923873,0.8507456202,0.8901189716,1.57255464,1.349489333,0.9763465078,1.13886374,1.09631998,0.8442021473,0.7170650294,0.7298563629,1.004095002,0.7910970663,1.144828102,0.9111088187,0.7595389274,0.9100746571,1.14659177,1.347933102,1.493162559,1.224654367,1.230311438,1.073968711,0.0295671192,0.01662775888,0.01883449683,0.01562900255,0.02093638471
Carbon,Business,1A2b,Autogenerators,2.309753584,2.467667692,2.338843357,2.878177218,2.481630836,2.612601486,3.416591221,3.28895994,3.434172938,2.762796399,2.403109789,2.575864259,2.691578796,2.276126582,2.308886594,2.456227383,2.394283723,2.079496014,1.966964663,1.632048996,1.563890323,1.569534995,1.26046725,0.04297953557,0.0244608061,0.02354836891,0.01971198954,0.02776442375
